"Plot Title: Vertedor"
"#","Date Time, GMT-03:00","Temp, °F (LGR S/N: 10434232, SEN S/N: 10434232)","Máx.: Pressão, psi (LGR S/N: 10434232)","Coupler Detached (LGR S/N: 10434232)","End Of File (LGR S/N: 10434232)"
1,05/08/18 01:00:00 PM,68.763,14.3300,Logged,
2,05/08/18 01:05:00 PM,68.592,14.3296,,
3,05/08/18 01:10:00 PM,68.592,14.3296,,
4,05/08/18 01:15:00 PM,68.421,14.3291,,
5,05/08/18 01:20:00 PM,68.248,14.3273,,
6,05/08/18 01:25:00 PM,68.421,14.3262,,
7,05/08/18 01:30:00 PM,68.421,14.3248,,
8,05/08/18 01:35:00 PM,68.592,14.3222,,
9,05/08/18 01:40:00 PM,68.592,14.3207,,
10,05/08/18 01:45:00 PM,68.763,14.3210,,
11,05/08/18 01:50:00 PM,68.934,14.3215,,
12,05/08/18 01:55:00 PM,68.763,14.3181,,
13,05/08/18 02:00:00 PM,68.763,14.3181,,
14,05/08/18 02:05:00 PM,68.763,14.3152,,
15,05/08/18 02:10:00 PM,68.934,14.3155,,
16,05/08/18 02:15:00 PM,69.107,14.3145,,
17,05/08/18 02:20:00 PM,69.107,14.3130,,
18,05/08/18 02:25:00 PM,68.934,14.3141,,
19,05/08/18 02:30:00 PM,68.763,14.3136,,
20,05/08/18 02:35:00 PM,68.421,14.3115,,
21,05/08/18 02:40:00 PM,68.248,14.3125,,
22,05/08/18 02:45:00 PM,68.077,14.3122,,
23,05/08/18 02:50:00 PM,68.077,14.3136,,
24,05/08/18 02:55:00 PM,67.906,14.3146,,
25,05/08/18 03:00:00 PM,67.906,14.3162,,
26,05/08/18 03:05:00 PM,67.906,14.3162,,
27,05/08/18 03:10:00 PM,67.735,14.3187,,
28,05/08/18 03:15:00 PM,67.735,14.3187,,
29,05/08/18 03:20:00 PM,67.564,14.3184,,
30,05/08/18 03:25:00 PM,67.564,14.3184,,
31,05/08/18 03:30:00 PM,67.392,14.3151,,
32,05/08/18 03:35:00 PM,67.392,14.3135,,
33,05/08/18 03:40:00 PM,67.221,14.3132,,
34,05/08/18 03:45:00 PM,67.221,14.3146,,
35,05/08/18 03:50:00 PM,67.050,14.3128,,
36,05/08/18 03:55:00 PM,67.050,14.3142,,
37,05/08/18 04:00:00 PM,67.050,14.3128,,
38,05/08/18 04:05:00 PM,66.879,14.3154,,
39,05/08/18 04:10:00 PM,66.879,14.3154,,
40,05/08/18 04:15:00 PM,66.879,14.3154,,
41,05/08/18 04:20:00 PM,66.879,14.3154,,
42,05/08/18 04:25:00 PM,66.708,14.3164,,
43,05/08/18 04:30:00 PM,66.708,14.3178,,
44,05/08/18 04:35:00 PM,66.708,14.3178,,
45,05/08/18 04:40:00 PM,66.708,14.3194,,
46,05/08/18 04:45:00 PM,66.537,14.3204,,
47,05/08/18 04:50:00 PM,66.537,14.3219,,
48,05/08/18 04:55:00 PM,66.537,14.3204,,
49,05/08/18 05:00:00 PM,66.366,14.3202,,
50,05/08/18 05:05:00 PM,66.366,14.3216,,
51,05/08/18 05:10:00 PM,66.366,14.3216,,
52,05/08/18 05:15:00 PM,66.366,14.3216,,
53,05/08/18 05:20:00 PM,66.193,14.3197,,
54,05/08/18 05:25:00 PM,66.193,14.3241,,
55,05/08/18 05:30:00 PM,66.193,14.3212,,
56,05/08/18 05:35:00 PM,66.022,14.3207,,
57,05/08/18 05:40:00 PM,66.022,14.3252,,
58,05/08/18 05:45:00 PM,65.851,14.3264,,
59,05/08/18 05:50:00 PM,65.851,14.3278,,
60,05/08/18 05:55:00 PM,65.680,14.3260,,
61,05/08/18 06:00:00 PM,65.509,14.3226,,
62,05/08/18 06:05:00 PM,65.509,14.3226,,
63,05/08/18 06:10:00 PM,65.338,14.3236,,
64,05/08/18 06:15:00 PM,65.338,14.3236,,
65,05/08/18 06:20:00 PM,65.167,14.3219,,
66,05/08/18 06:25:00 PM,64.996,14.3244,,
