"Plot Title: EH-HS02 Can"
"#","Date Time, GMT-03:00","Nível de Água, Metros (LGR S/N: 10631709, SEN S/N: 10260378)","Rain, in (LGR S/N: 10631709, SEN S/N: 10573338)","Máx.: Nível de Água, Metros (LGR S/N: 10631709)","Máx.: Chuva, in (LGR S/N: 10631709)"
1,03/22/18 02:00:00 PM,0.4108,,0.4405,0.000
2,03/22/18 02:00:30 PM,0.4405,0.000,,
3,03/22/18 02:01:00 PM,0.4405,0.000,,
4,03/22/18 02:01:30 PM,0.4405,0.000,,
5,03/22/18 02:02:00 PM,0.4405,0.000,,
6,03/22/18 02:02:30 PM,0.4405,0.000,,
7,03/22/18 02:03:00 PM,0.4405,0.000,,
8,03/22/18 02:03:30 PM,0.4405,0.000,,
9,03/22/18 02:04:00 PM,0.4405,0.000,,
10,03/22/18 02:04:30 PM,0.4346,0.000,,
11,03/22/18 02:05:00 PM,0.4405,0.000,0.4405,0.000
12,03/22/18 02:05:30 PM,0.4405,0.000,,
13,03/22/18 02:06:00 PM,0.4405,0.000,,
14,03/22/18 02:06:30 PM,0.4405,0.000,,
15,03/22/18 02:07:00 PM,0.4405,0.000,,
16,03/22/18 02:07:30 PM,0.4346,0.000,,
17,03/22/18 02:08:00 PM,0.4405,0.000,,
18,03/22/18 02:08:30 PM,0.4405,0.000,,
19,03/22/18 02:09:00 PM,0.4405,0.000,,
20,03/22/18 02:09:30 PM,0.4346,0.000,,
21,03/22/18 02:10:00 PM,0.4346,0.000,0.4405,0.000
22,03/22/18 02:10:30 PM,0.4405,0.000,,
23,03/22/18 02:11:00 PM,0.4346,0.000,,
24,03/22/18 02:11:30 PM,0.4346,0.000,,
25,03/22/18 02:12:00 PM,0.4405,0.000,,
26,03/22/18 02:12:30 PM,0.4405,0.000,,
27,03/22/18 02:13:00 PM,0.4405,0.000,,
28,03/22/18 02:13:30 PM,0.4405,0.000,,
29,03/22/18 02:14:00 PM,0.4405,0.000,,
30,03/22/18 02:14:30 PM,0.4405,0.000,,
31,03/22/18 02:15:00 PM,0.4405,0.000,0.4405,0.000
32,03/22/18 02:15:30 PM,0.4346,0.000,,
33,03/22/18 02:16:00 PM,0.4346,0.000,,
34,03/22/18 02:16:30 PM,0.4346,0.000,,
35,03/22/18 02:17:00 PM,0.4405,0.000,,
36,03/22/18 02:17:30 PM,0.4346,0.000,,
37,03/22/18 02:18:00 PM,0.4405,0.000,,
38,03/22/18 02:18:30 PM,0.4405,0.000,,
39,03/22/18 02:19:00 PM,0.4405,0.000,,
40,03/22/18 02:19:30 PM,0.4405,0.000,,
41,03/22/18 02:20:00 PM,0.4405,0.000,0.4405,0.000
42,03/22/18 02:20:30 PM,0.4405,0.000,,
43,03/22/18 02:21:00 PM,0.4405,0.000,,
44,03/22/18 02:21:30 PM,0.4405,0.000,,
45,03/22/18 02:22:00 PM,0.4405,0.000,,
46,03/22/18 02:22:30 PM,0.4405,0.000,,
47,03/22/18 02:23:00 PM,0.4405,0.000,,
