"Plot Title: Nivel_Elerht"
"#","Date Time, GMT-03:00","Abs Pres, psi (LGR S/N: 10416742, SEN S/N: 10416742)","Temp, °F (LGR S/N: 10416742, SEN S/N: 10416742)","Máx.: Pressão, psi (LGR S/N: 10416742)"
1,12/18/19 03:05:00 PM,14.2479,83.579,14.2479
2,12/18/19 03:10:00 PM,14.3020,77.050,14.3020
3,12/18/19 03:15:00 PM,14.3028,74.619,14.3028
4,12/18/19 03:20:00 PM,14.3010,73.580,14.3010
5,12/18/19 03:25:00 PM,14.3023,72.891,14.3023
6,12/18/19 03:30:00 PM,14.3017,72.545,14.3017
7,12/18/19 03:35:00 PM,14.3036,72.199,14.3036
8,12/18/19 03:40:00 PM,14.3033,72.028,14.3033
9,12/18/19 03:45:00 PM,14.3009,72.028,14.3009
10,12/18/19 03:50:00 PM,14.3009,72.028,14.3009
11,12/18/19 03:55:00 PM,14.2988,72.199,14.2988
12,12/18/19 04:00:00 PM,14.3012,72.199,14.3012
13,12/18/19 04:05:00 PM,14.3014,72.372,14.3014
14,12/18/19 04:10:00 PM,14.3014,72.372,14.3014
15,12/18/19 04:15:00 PM,14.3036,72.199,14.3036
16,12/18/19 04:20:00 PM,14.3052,71.683,14.3052
17,12/18/19 04:25:00 PM,14.3019,71.168,14.3019
18,12/18/19 04:30:00 PM,14.3010,70.651,14.3010
19,12/18/19 04:35:00 PM,14.3026,70.137,14.3026
20,12/18/19 04:40:00 PM,14.2997,69.793,14.2997
21,12/18/19 04:45:00 PM,14.2994,69.622,14.2994
22,12/18/19 04:50:00 PM,14.3013,69.278,14.3013
23,12/18/19 04:55:00 PM,14.3010,69.107,14.3010
24,12/18/19 05:00:00 PM,14.3007,68.934,14.3007
25,12/18/19 05:05:00 PM,14.2983,68.934,14.2983
26,12/18/19 05:10:00 PM,14.2955,68.763,14.2955
27,12/18/19 05:15:00 PM,14.3001,68.592,14.3001
28,12/18/19 05:20:00 PM,14.3026,68.592,14.3026
29,12/18/19 05:25:00 PM,14.3023,68.421,14.3023
30,12/18/19 05:30:00 PM,14.3023,68.421,14.3023
31,12/18/19 05:35:00 PM,14.2996,68.248,14.2996
32,12/18/19 05:40:00 PM,14.2993,68.077,14.2993
33,12/18/19 05:45:00 PM,14.2993,68.077,14.2993
34,12/18/19 05:50:00 PM,14.2990,67.906,14.2990
35,12/18/19 05:55:00 PM,14.3014,67.906,14.3014
