"Plot Title: BAROMETRO"
"#","Date Time, GMT-03:00","Abs Pres, psi (LGR S/N: 10416742, SEN S/N: 10416742)","Temp, °F (LGR S/N: 10416742, SEN S/N: 10416742)","Méd.: Pressão, psi (LGR S/N: 10416742)"
1,02/27/19 11:00:00 AM,14.2594,85.915,14.2594
2,02/27/19 11:05:00 AM,14.2549,83.399,14.2549
3,02/27/19 11:10:00 AM,14.2572,81.975,14.2572
4,02/27/19 11:15:00 AM,14.2545,81.797,14.2545
5,02/27/19 11:20:00 AM,14.2545,81.797,14.2545
6,02/27/19 11:25:00 AM,14.2539,81.442,14.2539
7,02/27/19 11:30:00 AM,14.2530,80.911,14.2530
8,02/27/19 11:35:00 AM,14.2558,81.090,14.2558
9,02/27/19 11:40:00 AM,14.2540,82.864,14.2540
10,02/27/19 11:45:00 AM,14.2510,83.935,14.2510
11,02/27/19 11:50:00 AM,14.2517,84.295,14.2517
12,02/27/19 11:55:00 AM,14.2523,84.654,14.2523
13,02/27/19 12:00:00 PM,14.2497,85.915,14.2497
14,02/27/19 12:05:00 PM,14.2491,85.554,14.2491
15,02/27/19 12:10:00 PM,14.2484,85.194,14.2484
16,02/27/19 12:15:00 PM,14.2491,82.864,14.2491
17,02/27/19 12:20:00 PM,14.2489,80.029,14.2489
18,02/27/19 12:25:00 PM,14.2469,78.800,14.2469
19,02/27/19 12:30:00 PM,14.2442,78.624,14.2442
20,02/27/19 12:35:00 PM,14.2453,79.326,14.2453
21,02/27/19 12:40:00 PM,14.2444,80.206,14.2444
22,02/27/19 12:45:00 PM,14.2427,80.559,14.2427
23,02/27/19 12:50:00 PM,14.2408,79.502,14.2408
24,02/27/19 12:55:00 PM,14.2408,79.502,14.2408
25,02/27/19 01:00:00 PM,14.2400,80.382,14.2400
26,02/27/19 01:05:00 PM,14.2400,80.382,14.2400
27,02/27/19 01:10:00 PM,14.2391,81.266,14.2391
28,02/27/19 01:15:00 PM,14.2391,81.266,14.2391
29,02/27/19 01:20:00 PM,14.2369,81.442,14.2369
30,02/27/19 01:25:00 PM,14.2378,80.559,14.2378
31,02/27/19 01:30:00 PM,14.2384,80.911,14.2384
32,02/27/19 01:35:00 PM,14.2369,81.442,14.2369
33,02/27/19 01:40:00 PM,14.2357,80.735,14.2357
34,02/27/19 01:45:00 PM,14.2333,80.735,14.2333
35,02/27/19 01:50:00 PM,14.2336,80.911,14.2336
36,02/27/19 01:55:00 PM,14.2318,81.266,14.2318
37,02/27/19 02:00:00 PM,14.2308,80.735,14.2308
38,02/27/19 02:05:00 PM,14.2311,79.502,14.2311
39,02/27/19 02:10:00 PM,14.2308,79.326,14.2308
40,02/27/19 02:15:00 PM,14.2275,78.800,14.2275
41,02/27/19 02:20:00 PM,14.2294,79.853,14.2294
42,02/27/19 02:25:00 PM,14.2283,80.735,14.2283
43,02/27/19 02:30:00 PM,14.2288,80.911,14.2288
44,02/27/19 02:35:00 PM,14.2263,80.911,14.2263
45,02/27/19 02:40:00 PM,14.2266,81.090,14.2266
46,02/27/19 02:45:00 PM,14.2241,81.090,14.2241
47,02/27/19 02:50:00 PM,14.2247,81.442,14.2247
48,02/27/19 02:55:00 PM,14.2212,82.152,14.2212
49,02/27/19 03:00:00 PM,14.2208,81.975,14.2208
50,02/27/19 03:05:00 PM,14.2204,83.043,14.2204
51,02/27/19 03:10:00 PM,14.2204,84.474,14.2204
52,02/27/19 03:15:00 PM,14.2230,85.915,14.2230
53,02/27/19 03:20:00 PM,14.2198,86.823,14.2198
54,02/27/19 03:25:00 PM,14.2217,87.915,14.2217
55,02/27/19 03:30:00 PM,14.2185,88.833,14.2185
56,02/27/19 03:35:00 PM,14.2189,87.733,14.2189
57,02/27/19 03:40:00 PM,14.2141,87.733,14.2141
58,02/27/19 03:45:00 PM,14.2183,87.368,14.2183
59,02/27/19 03:50:00 PM,14.2162,88.833,14.2162
60,02/27/19 03:55:00 PM,14.2150,89.569,14.2150
61,02/27/19 04:00:00 PM,14.2147,88.099,14.2147
62,02/27/19 04:05:00 PM,14.2127,88.282,14.2127
63,02/27/19 04:10:00 PM,14.2137,88.833,14.2137
64,02/27/19 04:15:00 PM,14.2127,88.282,14.2127
65,02/27/19 04:20:00 PM,14.2115,89.017,14.2115
66,02/27/19 04:25:00 PM,14.2136,90.124,14.2136
67,02/27/19 04:30:00 PM,14.2115,91.612,14.2115
68,02/27/19 04:35:00 PM,14.2138,92.926,14.2138
