"Plot Title: EHP-04"
"#","Date Time, GMT-03:00","Chuva, mm (LGR S/N: 10440736, SEN S/N: 10440736, LBL: Chuva)","Soma Acum.: Chuva, mm (LGR S/N: 10440736)"
1,12/18/19 04:50:00 PM,,5.6
2,12/18/19 04:52:41 PM,0.0,
3,12/18/19 04:53:01 PM,0.2,
4,12/18/19 04:53:03 PM,0.4,
5,12/18/19 04:53:05 PM,0.6,
6,12/18/19 04:53:07 PM,0.8,
7,12/18/19 04:53:09 PM,1.0,
8,12/18/19 04:53:10 PM,1.2,
9,12/18/19 04:53:12 PM,1.4,
10,12/18/19 04:53:13 PM,1.6,
11,12/18/19 04:53:14 PM,1.8,
12,12/18/19 04:53:16 PM,2.0,
13,12/18/19 04:53:17 PM,2.2,
14,12/18/19 04:53:18 PM,2.4,
15,12/18/19 04:53:19 PM,2.6,
16,12/18/19 04:53:20 PM,2.8,
17,12/18/19 04:53:21 PM,3.0,
18,12/18/19 04:53:22 PM,3.2,
19,12/18/19 04:53:23 PM,3.4,
20,12/18/19 04:53:24 PM,3.6,
21,12/18/19 04:53:25 PM,3.8,
22,12/18/19 04:53:26 PM,4.0,
23,12/18/19 04:53:27 PM,4.2,
24,12/18/19 04:53:28 PM,4.4,
25,12/18/19 04:53:29 PM,4.6,
26,12/18/19 04:53:30 PM,4.8,
27,12/18/19 04:53:31 PM,5.0,
28,12/18/19 04:53:32 PM,5.2,
29,12/18/19 04:53:33 PM,5.4,
30,12/18/19 04:53:34 PM,5.6,
31,12/18/19 04:55:00 PM,,0.0
32,12/18/19 05:00:00 PM,,0.0
33,12/18/19 05:05:00 PM,,0.0
34,12/18/19 05:10:00 PM,,0.0
35,12/18/19 05:15:00 PM,,0.0
36,12/18/19 05:20:00 PM,,0.0
37,12/18/19 05:25:00 PM,,0.0
38,12/18/19 05:30:00 PM,,0.0
39,12/18/19 05:35:00 PM,,0.0
40,12/18/19 05:40:00 PM,,0.0
41,12/18/19 05:45:00 PM,,0.0
42,12/18/19 05:50:00 PM,,0.0
43,12/18/19 05:55:00 PM,,0.0
44,12/18/19 06:00:00 PM,,0.0
45,12/18/19 06:05:00 PM,,0.0
46,12/18/19 06:10:00 PM,,0.0
47,12/18/19 06:15:00 PM,,0.0
48,12/18/19 06:20:00 PM,,0.0
49,12/18/19 06:25:00 PM,,0.0
50,12/18/19 06:30:00 PM,,0.0
51,12/18/19 06:35:00 PM,,0.0
52,12/18/19 06:40:00 PM,,0.0
53,12/18/19 06:45:00 PM,,0.0
54,12/18/19 06:50:00 PM,,0.0
55,12/18/19 06:55:00 PM,,0.0
56,12/18/19 07:00:00 PM,,0.0
57,12/18/19 07:05:00 PM,,0.0
58,12/18/19 07:10:00 PM,,0.0
59,12/18/19 07:15:00 PM,,0.0
60,12/18/19 07:20:00 PM,,0.0
61,12/18/19 07:25:00 PM,,0.0
62,12/18/19 07:30:00 PM,,0.0
63,12/18/19 07:35:00 PM,,0.0
64,12/18/19 07:40:00 PM,,0.0
65,12/18/19 07:45:00 PM,,0.0
66,12/18/19 07:50:00 PM,,0.0
67,12/18/19 07:55:00 PM,,0.0
68,12/18/19 08:00:00 PM,,0.0
69,12/18/19 08:05:00 PM,,0.0
70,12/18/19 08:10:00 PM,,0.0
71,12/18/19 08:15:00 PM,,0.0
72,12/18/19 08:20:00 PM,,0.0
73,12/18/19 08:25:00 PM,,0.0
74,12/18/19 08:30:00 PM,,0.0
75,12/18/19 08:35:00 PM,,0.0
76,12/18/19 08:40:00 PM,,0.0
77,12/18/19 08:45:00 PM,,0.0
78,12/18/19 08:50:00 PM,,0.0
79,12/18/19 08:55:00 PM,,0.0
80,12/18/19 09:00:00 PM,,0.0
81,12/18/19 09:05:00 PM,,0.0
82,12/18/19 09:10:00 PM,,0.0
83,12/18/19 09:15:00 PM,,0.0
84,12/18/19 09:20:00 PM,,0.0
85,12/18/19 09:25:00 PM,,0.0
86,12/18/19 09:30:00 PM,,0.0
87,12/18/19 09:35:00 PM,,0.0
88,12/18/19 09:40:00 PM,,0.0
89,12/18/19 09:45:00 PM,,0.0
90,12/18/19 09:50:00 PM,,0.0
91,12/18/19 09:55:00 PM,,0.0
92,12/18/19 10:00:00 PM,,0.0
93,12/18/19 10:05:00 PM,,0.0
94,12/18/19 10:10:00 PM,,0.0
95,12/18/19 10:15:00 PM,,0.0
96,12/18/19 10:20:00 PM,,0.0
97,12/18/19 10:25:00 PM,,0.0
98,12/18/19 10:30:00 PM,,0.0
99,12/18/19 10:35:00 PM,,0.0
100,12/18/19 10:40:00 PM,,0.0
101,12/18/19 10:45:00 PM,,0.0
102,12/18/19 10:50:00 PM,,0.0
103,12/18/19 10:55:00 PM,,0.0
104,12/18/19 11:00:00 PM,,0.0
105,12/18/19 11:05:00 PM,,0.0
106,12/18/19 11:10:00 PM,,0.0
107,12/18/19 11:15:00 PM,,0.0
108,12/18/19 11:20:00 PM,,0.0
109,12/18/19 11:25:00 PM,,0.0
110,12/18/19 11:30:00 PM,,0.0
111,12/18/19 11:35:00 PM,,0.0
112,12/18/19 11:40:00 PM,,0.0
113,12/18/19 11:45:00 PM,,0.0
114,12/18/19 11:50:00 PM,,0.0
115,12/18/19 11:55:00 PM,,0.0
116,12/19/19 12:00:00 AM,,0.0
117,12/19/19 12:05:00 AM,,0.0
118,12/19/19 12:10:00 AM,,0.0
119,12/19/19 12:15:00 AM,,0.0
120,12/19/19 12:20:00 AM,,0.0
121,12/19/19 12:25:00 AM,,0.0
122,12/19/19 12:30:00 AM,,0.0
123,12/19/19 12:35:00 AM,,0.0
124,12/19/19 12:40:00 AM,,0.0
125,12/19/19 12:45:00 AM,,0.0
126,12/19/19 12:50:00 AM,,0.0
127,12/19/19 12:55:00 AM,,0.0
128,12/19/19 01:00:00 AM,,0.0
129,12/19/19 01:05:00 AM,,0.0
130,12/19/19 01:10:00 AM,,0.0
131,12/19/19 01:15:00 AM,,0.0
132,12/19/19 01:20:00 AM,,0.0
133,12/19/19 01:25:00 AM,,0.0
134,12/19/19 01:30:00 AM,,0.0
135,12/19/19 01:35:00 AM,,0.0
136,12/19/19 01:40:00 AM,,0.0
137,12/19/19 01:45:00 AM,,0.0
138,12/19/19 01:50:00 AM,,0.0
139,12/19/19 01:55:00 AM,,0.0
140,12/19/19 02:00:00 AM,,0.0
141,12/19/19 02:05:00 AM,,0.0
142,12/19/19 02:10:00 AM,,0.0
143,12/19/19 02:15:00 AM,,0.0
144,12/19/19 02:20:00 AM,,0.0
145,12/19/19 02:25:00 AM,,0.0
146,12/19/19 02:30:00 AM,,0.0
147,12/19/19 02:35:00 AM,,0.0
148,12/19/19 02:40:00 AM,,0.0
149,12/19/19 02:45:00 AM,,0.0
150,12/19/19 02:50:00 AM,,0.0
151,12/19/19 02:55:00 AM,,0.0
152,12/19/19 03:00:00 AM,,0.0
153,12/19/19 03:05:00 AM,,0.0
154,12/19/19 03:10:00 AM,,0.0
155,12/19/19 03:15:00 AM,,0.0
156,12/19/19 03:20:00 AM,,0.0
157,12/19/19 03:25:00 AM,,0.0
158,12/19/19 03:30:00 AM,,0.0
159,12/19/19 03:35:00 AM,,0.0
160,12/19/19 03:40:00 AM,,0.0
161,12/19/19 03:45:00 AM,,0.0
162,12/19/19 03:50:00 AM,,0.0
163,12/19/19 03:55:00 AM,,0.0
164,12/19/19 04:00:00 AM,,0.0
165,12/19/19 04:05:00 AM,,0.0
166,12/19/19 04:10:00 AM,,0.0
167,12/19/19 04:15:00 AM,,0.0
168,12/19/19 04:20:00 AM,,0.0
169,12/19/19 04:25:00 AM,,0.0
170,12/19/19 04:30:00 AM,,0.0
171,12/19/19 04:35:00 AM,,0.0
172,12/19/19 04:40:00 AM,,0.0
173,12/19/19 04:45:00 AM,,0.0
174,12/19/19 04:50:00 AM,,0.0
175,12/19/19 04:55:00 AM,,0.0
176,12/19/19 05:00:00 AM,,0.0
177,12/19/19 05:05:00 AM,,0.0
178,12/19/19 05:10:00 AM,,0.0
179,12/19/19 05:15:00 AM,,0.0
180,12/19/19 05:20:00 AM,,0.0
181,12/19/19 05:25:00 AM,,0.0
182,12/19/19 05:30:00 AM,,0.0
183,12/19/19 05:35:00 AM,,0.0
184,12/19/19 05:40:00 AM,,0.0
185,12/19/19 05:45:00 AM,,0.0
186,12/19/19 05:50:00 AM,,0.0
187,12/19/19 05:55:00 AM,,0.0
188,12/19/19 06:00:00 AM,,0.0
189,12/19/19 06:05:00 AM,,0.0
190,12/19/19 06:10:00 AM,,0.0
191,12/19/19 06:15:00 AM,,0.0
192,12/19/19 06:20:00 AM,,0.0
193,12/19/19 06:25:00 AM,,0.0
194,12/19/19 06:30:00 AM,,0.0
195,12/19/19 06:35:00 AM,,0.0
196,12/19/19 06:40:00 AM,,0.0
197,12/19/19 06:45:00 AM,,0.0
198,12/19/19 06:50:00 AM,,0.0
199,12/19/19 06:55:00 AM,,0.0
200,12/19/19 07:00:00 AM,,0.0
201,12/19/19 07:05:00 AM,,0.0
202,12/19/19 07:10:00 AM,,0.0
203,12/19/19 07:15:00 AM,,0.0
204,12/19/19 07:20:00 AM,,0.0
205,12/19/19 07:25:00 AM,,0.0
206,12/19/19 07:30:00 AM,,0.0
207,12/19/19 07:35:00 AM,,0.0
208,12/19/19 07:40:00 AM,,0.0
209,12/19/19 07:45:00 AM,,0.0
210,12/19/19 07:50:00 AM,,0.0
211,12/19/19 07:55:00 AM,,0.0
212,12/19/19 08:00:00 AM,,0.0
213,12/19/19 08:05:00 AM,,0.0
214,12/19/19 08:10:00 AM,,0.0
215,12/19/19 08:15:00 AM,,0.0
216,12/19/19 08:20:00 AM,,0.0
217,12/19/19 08:25:00 AM,,0.0
218,12/19/19 08:30:00 AM,,0.0
219,12/19/19 08:35:00 AM,,0.0
220,12/19/19 08:40:00 AM,,0.0
221,12/19/19 08:45:00 AM,,0.0
222,12/19/19 08:50:00 AM,,0.0
223,12/19/19 08:55:00 AM,,0.0
224,12/19/19 09:00:00 AM,,0.0
225,12/19/19 09:05:00 AM,,0.0
226,12/19/19 09:10:00 AM,,0.0
227,12/19/19 09:15:00 AM,,0.0
228,12/19/19 09:20:00 AM,,0.0
229,12/19/19 09:25:00 AM,,0.0
230,12/19/19 09:30:00 AM,,0.0
231,12/19/19 09:35:00 AM,,0.0
232,12/19/19 09:40:00 AM,,0.0
233,12/19/19 09:45:00 AM,,0.0
234,12/19/19 09:50:00 AM,,0.0
235,12/19/19 09:55:00 AM,,0.0
236,12/19/19 10:00:00 AM,,0.0
237,12/19/19 10:05:00 AM,,0.0
238,12/19/19 10:10:00 AM,,0.0
239,12/19/19 10:15:00 AM,,0.0
240,12/19/19 10:20:00 AM,,0.0
241,12/19/19 10:25:00 AM,,0.0
242,12/19/19 10:30:00 AM,,0.0
243,12/19/19 10:35:00 AM,,0.0
244,12/19/19 10:40:00 AM,,0.0
245,12/19/19 10:45:00 AM,,0.0
246,12/19/19 10:50:00 AM,,0.0
247,12/19/19 10:55:00 AM,,0.0
248,12/19/19 11:00:00 AM,,0.0
249,12/19/19 11:05:00 AM,,0.0
250,12/19/19 11:10:00 AM,,0.0
251,12/19/19 11:15:00 AM,,0.0
252,12/19/19 11:20:00 AM,,0.0
253,12/19/19 11:25:00 AM,,0.0
254,12/19/19 11:30:00 AM,,0.0
