"Plot Title: EH-P05"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20497856, SEN S/N: 20497856)","CHUVA, mm (LGR S/N: 20497856, SEN S/N: 20497856)","Soma Acum.: CHUVA, mm (LGR S/N: 20497856)"
1,02/26/20 04:00:00 PM,29.053,0.0,0.0
2,02/26/20 04:05:00 PM,28.655,,0.0
3,02/26/20 04:10:00 PM,28.555,,0.0
4,02/26/20 04:15:00 PM,28.555,,0.0
5,02/26/20 04:20:00 PM,28.555,,0.0
6,02/26/20 04:25:00 PM,28.456,,0.0
7,02/26/20 04:30:00 PM,28.456,,0.0
8,02/26/20 04:35:00 PM,28.357,,0.0
9,02/26/20 04:40:00 PM,28.159,,0.0
10,02/26/20 04:45:00 PM,27.862,,0.0
11,02/26/20 04:50:00 PM,27.567,,0.0
12,02/26/20 04:55:00 PM,27.075,,0.0
13,02/26/20 05:00:00 PM,26.781,,0.0
14,02/26/20 05:05:00 PM,26.683,,0.0
15,02/26/20 05:10:00 PM,26.585,,0.0
16,02/26/20 05:15:00 PM,26.390,,0.0
17,02/26/20 05:20:00 PM,26.195,,0.0
18,02/26/20 05:25:00 PM,26.097,,0.0
19,02/26/20 05:30:00 PM,26.000,,0.0
20,02/26/20 05:35:00 PM,26.000,,0.0
21,02/26/20 05:40:00 PM,25.708,,0.0
22,02/26/20 05:45:00 PM,25.513,,0.0
23,02/26/20 05:50:00 PM,25.222,,0.0
24,02/26/20 05:55:00 PM,24.931,,0.0
25,02/26/20 06:00:00 PM,24.835,,0.0
26,02/26/20 06:05:00 PM,24.641,,0.0
27,02/26/20 06:10:00 PM,24.351,,0.0
28,02/26/20 06:15:00 PM,23.966,,0.0
29,02/26/20 06:20:00 PM,23.388,,0.0
30,02/26/20 06:25:00 PM,22.908,,0.0
31,02/26/20 06:30:00 PM,22.429,,0.0
32,02/26/20 06:35:00 PM,22.046,,0.0
33,02/26/20 06:40:00 PM,21.664,,0.0
34,02/26/20 06:45:00 PM,21.282,,0.0
35,02/26/20 06:50:00 PM,20.805,,0.0
36,02/26/20 06:55:00 PM,20.424,,0.0
37,02/26/20 07:00:00 PM,19.948,,0.0
38,02/26/20 07:05:00 PM,19.567,,0.0
39,02/26/20 07:10:00 PM,19.187,,0.0
40,02/26/20 07:15:00 PM,18.806,,0.0
41,02/26/20 07:20:00 PM,18.426,,0.0
42,02/26/20 07:25:00 PM,18.140,,0.0
43,02/26/20 07:30:00 PM,17.760,,0.0
44,02/26/20 07:35:00 PM,17.379,,0.0
45,02/26/20 07:40:00 PM,16.999,,0.0
46,02/26/20 07:45:00 PM,16.618,,0.0
47,02/26/20 07:50:00 PM,16.332,,0.0
48,02/26/20 07:55:00 PM,16.046,,0.0
49,02/26/20 08:00:00 PM,15.760,,0.0
50,02/26/20 08:05:00 PM,15.664,,0.0
51,02/26/20 08:10:00 PM,15.473,,0.0
52,02/26/20 08:15:00 PM,15.378,,0.0
53,02/26/20 08:20:00 PM,15.282,,0.0
54,02/26/20 08:25:00 PM,15.187,,0.0
55,02/26/20 08:30:00 PM,14.996,,0.0
56,02/26/20 08:35:00 PM,14.900,,0.0
57,02/26/20 08:40:00 PM,14.709,,0.0
58,02/26/20 08:45:00 PM,14.613,,0.0
59,02/26/20 08:50:00 PM,14.421,,0.0
60,02/26/20 08:55:00 PM,14.230,,0.0
61,02/26/20 09:00:00 PM,14.134,,0.0
62,02/26/20 09:05:00 PM,14.038,,0.0
63,02/26/20 09:10:00 PM,13.942,,0.0
64,02/26/20 09:15:00 PM,13.750,,0.0
65,02/26/20 09:20:00 PM,13.654,,0.0
66,02/26/20 09:25:00 PM,13.461,,0.0
67,02/26/20 09:30:00 PM,13.365,,0.0
68,02/26/20 09:35:00 PM,13.269,,0.0
69,02/26/20 09:40:00 PM,13.269,,0.0
70,02/26/20 09:45:00 PM,13.269,,0.0
71,02/26/20 09:50:00 PM,13.173,,0.0
72,02/26/20 09:55:00 PM,13.076,,0.0
73,02/26/20 10:00:00 PM,12.980,,0.0
