"Plot Title: EHP-07"
"#","Date Time, GMT-03:00","Chuva, mm (LGR S/N: 10364362, SEN S/N: 10364362, LBL: mm)","Soma Acum.: Chuva, mm (LGR S/N: 10364362)"
1,02/26/20 12:00:00 AM,,0.0
2,02/26/20 04:00:00 PM,0.0,
3,02/27/20 12:00:00 AM,,0.0
4,02/28/20 12:00:00 AM,,0.0
5,02/29/20 12:00:00 AM,,0.0
6,03/01/20 12:00:00 AM,,0.0
7,03/02/20 12:00:00 AM,,0.0
8,03/03/20 12:00:00 AM,,0.0
9,03/04/20 12:00:00 AM,,0.0
10,03/05/20 12:00:00 AM,,0.0
11,03/06/20 12:00:00 AM,,0.0
12,03/07/20 12:00:00 AM,,0.0
13,03/08/20 12:00:00 AM,,0.0
14,03/09/20 12:00:00 AM,,0.0
15,03/10/20 12:00:00 AM,,1.4
16,03/10/20 01:57:17 PM,0.2,
17,03/10/20 02:04:08 PM,0.4,
18,03/10/20 02:07:25 PM,0.6,
19,03/10/20 02:10:14 PM,0.8,
20,03/10/20 02:21:19 PM,1.0,
21,03/10/20 04:40:41 PM,1.2,
22,03/10/20 07:44:48 PM,1.4,
23,03/11/20 12:00:00 AM,,0.0
24,03/12/20 12:00:00 AM,,0.0
25,03/13/20 12:00:00 AM,,0.0
26,03/14/20 12:00:00 AM,,18.0
27,03/14/20 06:10:29 PM,1.6,
28,03/14/20 06:12:21 PM,1.8,
29,03/14/20 06:13:17 PM,2.0,
30,03/14/20 06:13:52 PM,2.2,
31,03/14/20 06:14:28 PM,2.4,
32,03/14/20 06:14:53 PM,2.6,
33,03/14/20 06:15:24 PM,2.8,
34,03/14/20 06:16:07 PM,3.0,
35,03/14/20 06:17:02 PM,3.2,
36,03/14/20 06:17:56 PM,3.4,
37,03/14/20 06:19:54 PM,3.6,
38,03/14/20 06:21:12 PM,3.8,
39,03/14/20 06:21:45 PM,4.0,
40,03/14/20 06:22:15 PM,4.2,
41,03/14/20 06:22:44 PM,4.4,
42,03/14/20 06:23:26 PM,4.6,
43,03/14/20 06:24:04 PM,4.8,
44,03/14/20 06:24:26 PM,5.0,
45,03/14/20 06:24:48 PM,5.2,
46,03/14/20 06:25:06 PM,5.4,
47,03/14/20 06:25:23 PM,5.6,
48,03/14/20 06:25:37 PM,5.8,
49,03/14/20 06:25:53 PM,6.0,
50,03/14/20 06:26:07 PM,6.2,
51,03/14/20 06:26:22 PM,6.4,
52,03/14/20 06:26:38 PM,6.6,
53,03/14/20 06:26:56 PM,6.8,
54,03/14/20 06:27:09 PM,7.0,
55,03/14/20 06:27:23 PM,7.2,
56,03/14/20 06:27:37 PM,7.4,
57,03/14/20 06:27:58 PM,7.6,
58,03/14/20 06:28:16 PM,7.8,
59,03/14/20 06:28:31 PM,8.0,
60,03/14/20 06:28:42 PM,8.2,
61,03/14/20 06:28:53 PM,8.4,
62,03/14/20 06:29:06 PM,8.6,
63,03/14/20 06:29:18 PM,8.8,
64,03/14/20 06:29:33 PM,9.0,
65,03/14/20 06:29:50 PM,9.2,
66,03/14/20 06:30:13 PM,9.4,
67,03/14/20 06:30:44 PM,9.6,
