"Plot Title: Nivel_Elerht"
"#","Date Time, GMT-03:00","Abs Pres, psi (LGR S/N: 10416742, SEN S/N: 10416742)","Temp, °C (LGR S/N: 10416742, SEN S/N: 10416742)","Máx.: Pressão, psi (LGR S/N: 10416742)"
1,11/07/19 11:00:00 AM,14.2707,18.521,14.2707
2,11/07/19 11:05:00 AM,14.2684,18.521,14.2684
3,11/07/19 11:10:00 AM,14.2707,18.521,14.2707
4,11/07/19 11:15:00 AM,14.2637,18.616,14.2637
5,11/07/19 11:20:00 AM,14.2735,18.616,14.2735
6,11/07/19 11:25:00 AM,14.2665,18.711,14.2665
7,11/07/19 11:30:00 AM,14.2643,18.806,14.2643
8,11/07/19 11:35:00 AM,14.2669,18.901,14.2669
9,11/07/19 11:40:00 AM,14.2672,18.996,14.2672
10,11/07/19 11:45:00 AM,14.2624,18.996,14.2624
11,11/07/19 11:50:00 AM,14.2646,18.901,14.2646
12,11/07/19 11:55:00 AM,14.2672,18.996,14.2672
13,11/07/19 12:00:00 PM,14.2643,18.806,14.2643
14,11/07/19 12:05:00 PM,14.2665,18.711,14.2665
15,11/07/19 12:10:00 PM,14.2640,18.711,14.2640
16,11/07/19 12:15:00 PM,14.2666,18.806,14.2666
17,11/07/19 12:20:00 PM,14.2649,18.996,14.2649
18,11/07/19 12:25:00 PM,14.2627,19.092,14.2627
19,11/07/19 12:30:00 PM,14.2630,19.187,14.2630
20,11/07/19 12:35:00 PM,14.2656,19.282,14.2656
21,11/07/19 12:40:00 PM,14.2632,19.282,14.2632
22,11/07/19 12:45:00 PM,14.2634,19.377,14.2634
23,11/07/19 12:50:00 PM,14.2614,19.472,14.2614
24,11/07/19 12:55:00 PM,14.2590,19.472,14.2590
25,11/07/19 01:00:00 PM,14.2590,19.472,14.2590
26,11/07/19 01:05:00 PM,14.2616,19.567,14.2616
27,11/07/19 01:10:00 PM,14.2543,19.567,14.2543
28,11/07/19 01:15:00 PM,14.2592,19.567,14.2592
29,11/07/19 01:20:00 PM,14.2565,19.472,14.2565
30,11/07/19 01:25:00 PM,14.2614,19.472,14.2614
31,11/07/19 01:30:00 PM,14.2616,19.567,14.2616
32,11/07/19 01:35:00 PM,14.2592,19.567,14.2592
33,11/07/19 01:40:00 PM,14.2592,19.567,14.2592
34,11/07/19 01:45:00 PM,14.2619,19.662,14.2619
35,11/07/19 01:50:00 PM,14.2592,19.567,14.2592
36,11/07/19 01:55:00 PM,14.2568,19.567,14.2568
37,11/07/19 02:00:00 PM,14.2568,19.567,14.2568
38,11/07/19 02:05:00 PM,14.2592,19.567,14.2592
39,11/07/19 02:10:00 PM,14.2540,19.472,14.2540
40,11/07/19 02:15:00 PM,14.2590,19.472,14.2590
41,11/07/19 02:20:00 PM,14.2540,19.472,14.2540
42,11/07/19 02:25:00 PM,14.2540,19.472,14.2540
43,11/07/19 02:30:00 PM,14.2540,19.472,14.2540
44,11/07/19 02:35:00 PM,14.2539,19.377,14.2539
45,11/07/19 02:40:00 PM,14.2562,19.377,14.2562
46,11/07/19 02:45:00 PM,14.2587,19.377,14.2587
47,11/07/19 02:50:00 PM,14.2562,19.377,14.2562
48,11/07/19 02:55:00 PM,14.2536,19.282,14.2536
49,11/07/19 03:00:00 PM,14.2559,19.282,14.2559
50,11/07/19 03:05:00 PM,14.2536,19.282,14.2536
51,11/07/19 03:10:00 PM,14.2536,19.282,14.2536
52,11/07/19 03:15:00 PM,14.2559,19.282,14.2559
53,11/07/19 03:20:00 PM,14.2533,19.187,14.2533
54,11/07/19 03:25:00 PM,14.2533,19.187,14.2533
55,11/07/19 03:30:00 PM,14.2559,19.282,14.2559
56,11/07/19 03:35:00 PM,14.2511,19.282,14.2511
57,11/07/19 03:40:00 PM,14.2536,19.282,14.2536
58,11/07/19 03:45:00 PM,14.2536,19.282,14.2536
59,11/07/19 03:50:00 PM,14.2511,19.282,14.2511
60,11/07/19 03:55:00 PM,14.2536,19.282,14.2536
61,11/07/19 04:00:00 PM,14.2536,19.282,14.2536
62,11/07/19 04:05:00 PM,14.2508,19.187,14.2508
63,11/07/19 04:10:00 PM,14.2533,19.187,14.2533
64,11/07/19 04:15:00 PM,14.2530,19.092,14.2530
65,11/07/19 04:20:00 PM,14.2527,18.996,14.2527
66,11/07/19 04:25:00 PM,14.2530,19.092,14.2530
67,11/07/19 04:30:00 PM,14.2530,19.092,14.2530
68,11/07/19 04:35:00 PM,14.2527,18.996,14.2527
69,11/07/19 04:40:00 PM,14.2527,18.996,14.2527
70,11/07/19 04:45:00 PM,14.2527,18.996,14.2527
71,11/07/19 04:50:00 PM,14.2527,18.996,14.2527
72,11/07/19 04:55:00 PM,14.2527,18.996,14.2527
73,11/07/19 05:00:00 PM,14.2527,18.996,14.2527
74,11/07/19 05:05:00 PM,14.2552,18.996,14.2552
75,11/07/19 05:10:00 PM,14.2527,18.996,14.2527
76,11/07/19 05:15:00 PM,14.2552,18.996,14.2552
77,11/07/19 05:20:00 PM,14.2527,18.996,14.2527
78,11/07/19 05:25:00 PM,14.2524,18.901,14.2524
79,11/07/19 05:30:00 PM,14.2524,18.901,14.2524
80,11/07/19 05:35:00 PM,14.2546,18.806,14.2546
81,11/07/19 05:40:00 PM,14.2521,18.806,14.2521
82,11/07/19 05:45:00 PM,14.2543,18.711,14.2543
83,11/07/19 05:50:00 PM,14.2568,18.711,14.2568
84,11/07/19 05:55:00 PM,14.2517,18.616,14.2517
85,11/07/19 06:00:00 PM,14.2540,18.616,14.2540
86,11/07/19 06:05:00 PM,14.2562,18.521,14.2562
87,11/07/19 06:10:00 PM,14.2562,18.521,14.2562
88,11/07/19 06:15:00 PM,14.2562,18.521,14.2562
89,11/07/19 06:20:00 PM,14.2536,18.426,14.2536
90,11/07/19 06:25:00 PM,14.2584,18.426,14.2584
91,11/07/19 06:30:00 PM,14.2605,18.331,14.2605
92,11/07/19 06:35:00 PM,14.2556,18.331,14.2556
93,11/07/19 06:40:00 PM,14.2578,18.236,14.2578
94,11/07/19 06:45:00 PM,14.2603,18.236,14.2603
